orig_cwe,trans_cwe,orig_category,trans_category,count
CWE-22,CWE-22,File Handling Issues,File Handling Issues,921
CWE-327,CWE-327,Cryptographic Issues,Cryptographic Issues,475
CWE-89,CWE-89,Data Neutralization Issues,Data Neutralization Issues,267
CWE-89,CWE-798,Data Neutralization Issues,Credentials Management Errors,119
CWE-190,CWE-190,Numeric Errors,Numeric Errors,98
CWE-338,CWE-327,Random Number Issues,Cryptographic Issues,80
CWE-338,CWE-798,Random Number Issues,Credentials Management Errors,77
CWE-22,CWE-367,File Handling Issues,Concurrency Issues,51
CWE-798,CWE-798,Credentials Management Errors,Credentials Management Errors,40
CWE-787,CWE-190,Memory Buffer Errors,Numeric Errors,38
CWE-532,CWE-532,Information Management Errors,Information Management Errors,33
CWE-327,CWE-190,Cryptographic Issues,Numeric Errors,32
CWE-327,CWE-476,Cryptographic Issues,Pointer Issues,29
CWE-20,CWE-20,Data Validation Issues,Data Validation Issues,27
CWE-120,CWE-190,Memory Buffer Errors,Numeric Errors,24
CWE-327,CWE-20,Cryptographic Issues,Data Validation Issues,23
CWE-367,CWE-367,Concurrency Issues,Concurrency Issues,23
CWE-367,CWE-22,Concurrency Issues,File Handling Issues,23
CWE-1333,CWE-1333,Complexity Issues,Complexity Issues,21
CWE-787,CWE-787,Memory Buffer Errors,Memory Buffer Errors,21
CWE-562,CWE-190,Bad Coding Practices,Numeric Errors,21
CWE-670,CWE-327,Other,Cryptographic Issues,21
CWE-79,CWE-79,Data Neutralization Issues,Data Neutralization Issues,19
CWE-323,CWE-329,Key Management Errors,Cryptographic Issues,18
CWE-327,CWE-798,Cryptographic Issues,Credentials Management Errors,18
CWE-347,CWE-798,Data Integrity Issues,Credentials Management Errors,17
CWE-338,CWE-347,Random Number Issues,Data Integrity Issues,17
CWE-327,CWE-248,Cryptographic Issues,"Error Conditions, Return Values, Status Codes",16
CWE-327,CWE-125,Cryptographic Issues,Memory Buffer Errors,15
CWE-327,CWE-129,Cryptographic Issues,Other,15
CWE-338,CWE-338,Random Number Issues,Random Number Issues,15
CWE-670,CWE-347,Other,Data Integrity Issues,15
CWE-327,CWE-120,Cryptographic Issues,Memory Buffer Errors,15
CWE-347,CWE-347,Data Integrity Issues,Data Integrity Issues,12
CWE-125,CWE-120,Memory Buffer Errors,Memory Buffer Errors,12
CWE-327,CWE-347,Cryptographic Issues,Data Integrity Issues,11
CWE-190,CWE-674,Numeric Errors,Other,11
CWE-798,CWE-916,Credentials Management Errors,Credentials Management Errors,10
CWE-120,CWE-20,Memory Buffer Errors,Data Validation Issues,10
CWE-120,CWE-120,Memory Buffer Errors,Memory Buffer Errors,10
CWE-345,CWE-345,Other,Other,10
CWE-20,CWE-798,Data Validation Issues,Credentials Management Errors,9
CWE-327,CWE-532,Cryptographic Issues,Information Management Errors,9
CWE-20,CWE-319,Data Validation Issues,Information Management Errors,9
CWE-89,CWE-209,Data Neutralization Issues,Information Management Errors,9
CWE-20,CWE-89,Data Validation Issues,Data Neutralization Issues,9
CWE-329,CWE-329,Cryptographic Issues,Cryptographic Issues,9
CWE-354,CWE-347,Data Integrity Issues,Data Integrity Issues,8
CWE-120,CWE-338,Memory Buffer Errors,Random Number Issues,8
CWE-338,CWE-476,Random Number Issues,Pointer Issues,8
CWE-798,CWE-329,Credentials Management Errors,Cryptographic Issues,7
CWE-798,CWE-327,Credentials Management Errors,Cryptographic Issues,7
CWE-338,CWE-326,Random Number Issues,Other,7
CWE-338,CWE-252,Random Number Issues,"Error Conditions, Return Values, Status Codes",7
CWE-338,CWE-20,Random Number Issues,Data Validation Issues,6
CWE-787,CWE-125,Memory Buffer Errors,Memory Buffer Errors,6
CWE-120,CWE-787,Memory Buffer Errors,Memory Buffer Errors,6
CWE-20,CWE-248,Data Validation Issues,"Error Conditions, Return Values, Status Codes",6
CWE-20,CWE-476,Data Validation Issues,Pointer Issues,6
CWE-562,CWE-20,Bad Coding Practices,Data Validation Issues,6
CWE-532,CWE-327,Information Management Errors,Cryptographic Issues,6
CWE-327,CWE-252,Cryptographic Issues,"Error Conditions, Return Values, Status Codes",5
CWE-345,CWE-20,Other,Data Validation Issues,5
CWE-327,CWE-338,Cryptographic Issues,Random Number Issues,5
CWE-338,CWE-226,Random Number Issues,Other,5
CWE-125,CWE-787,Memory Buffer Errors,Memory Buffer Errors,5
CWE-120,CWE-835,Memory Buffer Errors,Behavioral Problems,5
CWE-347,CWE-916,Data Integrity Issues,Credentials Management Errors,5
CWE-20,CWE-613,Data Validation Issues,User Session Errors,5
CWE-532,CWE-338,Information Management Errors,Random Number Issues,5
CWE-562,CWE-120,Bad Coding Practices,Memory Buffer Errors,5
CWE-209,CWE-248,Information Management Errors,"Error Conditions, Return Values, Status Codes",5
CWE-327,CWE-329,Cryptographic Issues,Cryptographic Issues,5
CWE-20,CWE-120,Data Validation Issues,Memory Buffer Errors,4
CWE-329,CWE-327,Cryptographic Issues,Cryptographic Issues,4
CWE-404,CWE-22,Other,File Handling Issues,4
CWE-787,CWE-835,Memory Buffer Errors,Behavioral Problems,4
CWE-354,CWE-209,Data Integrity Issues,Information Management Errors,4
CWE-670,CWE-338,Other,Random Number Issues,4
CWE-670,CWE-345,Other,Other,4
CWE-327,CWE-704,Cryptographic Issues,Other,4
CWE-20,CWE-74,Data Validation Issues,Other,4
CWE-209,CWE-613,Information Management Errors,User Session Errors,4
CWE-120,CWE-129,Memory Buffer Errors,Other,4
CWE-345,CWE-798,Other,Credentials Management Errors,3
CWE-628,CWE-120,Bad Coding Practices,Memory Buffer Errors,3
CWE-323,CWE-330,Key Management Errors,Other,3
CWE-209,CWE-294,Information Management Errors,Authentication Errors,3
CWE-628,CWE-208,Bad Coding Practices,Information Management Errors,3
CWE-209,CWE-532,Information Management Errors,Information Management Errors,3
CWE-665,CWE-327,Other,Cryptographic Issues,3
CWE-670,CWE-670,Other,Other,3
CWE-338,CWE-330,Random Number Issues,Other,3
CWE-798,CWE-89,Credentials Management Errors,Data Neutralization Issues,3
CWE-20,CWE-352,Data Validation Issues,Other,3
CWE-562,CWE-129,Bad Coding Practices,Other,3
CWE-120,CWE-94,Memory Buffer Errors,Data Neutralization Issues,3
CWE-120,CWE-248,Memory Buffer Errors,"Error Conditions, Return Values, Status Codes",3
CWE-120,CWE-401,Memory Buffer Errors,Other,3
CWE-209,CWE-787,Information Management Errors,Memory Buffer Errors,3
CWE-20,CWE-787,Data Validation Issues,Memory Buffer Errors,3
CWE-323,CWE-323,Key Management Errors,Key Management Errors,3
CWE-754,CWE-294,Other,Authentication Errors,3
CWE-209,CWE-20,Information Management Errors,Data Validation Issues,3
CWE-338,CWE-532,Random Number Issues,Information Management Errors,3
CWE-338,CWE-320,Random Number Issues,Other,3
CWE-787,CWE-20,Memory Buffer Errors,Data Validation Issues,3
CWE-787,CWE-400,Memory Buffer Errors,Other,3
CWE-120,CWE-400,Memory Buffer Errors,Other,3
CWE-562,CWE-835,Bad Coding Practices,Behavioral Problems,3
CWE-628,CWE-330,Bad Coding Practices,Other,3
CWE-209,CWE-329,Information Management Errors,Cryptographic Issues,3
CWE-345,CWE-330,Other,Other,3
CWE-20,CWE-327,Data Validation Issues,Cryptographic Issues,3
CWE-327,CWE-681,Cryptographic Issues,Type Errors,3
CWE-338,CWE-704,Random Number Issues,Other,3
CWE-22,CWE-59,File Handling Issues,File Handling Issues,3
CWE-345,CWE-327,Other,Cryptographic Issues,3
CWE-628,CWE-327,Bad Coding Practices,Cryptographic Issues,3
CWE-347,CWE-327,Data Integrity Issues,Cryptographic Issues,3
CWE-798,CWE-20,Credentials Management Errors,Data Validation Issues,3
CWE-20,CWE-294,Data Validation Issues,Authentication Errors,3
CWE-327,CWE-226,Cryptographic Issues,Other,2
CWE-327,CWE-369,Cryptographic Issues,Numeric Errors,2
CWE-345,CWE-120,Other,Memory Buffer Errors,2
CWE-754,CWE-248,Other,"Error Conditions, Return Values, Status Codes",2
